,Text,X,Y,cluster
1006,\fArial|b0|i0;\H2.0000;All dimensions apply to the finished part including surface/material treatment.,-43,51,3
1007,\fArial|b0|i0;\H2.0000;Surface texture:,-43,28,3
1008,\fArial|b0|i0;\H2.0000;Edge finish:,8,28,3
1009,\fArial|b0|i0;\H2.0000;Nominal geometry (theoretically exact) defined by CAD file:,-43,-16,3
1010,1302\H1.25429x; \H0.79726x;\PTolerances on linear sizes according to:                     \H0.5x;  \H2x;ISO 286\H1.25429x; \H0.79726x;\P\H1.23656x; \H0.8087x;\P\H1.23236x; },-43,4,3
1011,\fArial|b0|i0;\H2.0000;Material:,-43,43,3
1012,1.4021,-32,41,3
1013,\fArial|b0|i0;\H2.0000;Quality standard:,-3,43,3
1014,\fArial|b0|i0;\H2.0000;Raw part No:,-43,33,3
1015,\fArial|b0|i0;\H2.0000;Surface/material treatment:,-43,38,3
1016,\fArial|b0|i0;\H2.0000;Valid for all untoleranced dimensions:,-43,-27,3
1017,"{\H0.57143x;Cleanliness:\P\H0.15x;\P\H7.66667x;Part has to be degreased and free of deposits, detachable burrs and visual detectable particles.}",-43,-37,3
1018,\fArial|b0|i0;\H2.0000;Delivery conditions:,-43,-49,3
1019,EN 10095,22,41,3
1020,Hardened to 48 HRC +2/-0,-8,35,3
1021,-,-8,31,3
1022,Rz 16,-33,17,3
1023,"-0,2",18,22,3
1024,"-0,05",18,18,3
1025,"+0,2",31,18,3
1026,5129275_Rev01.stp,-15,-23,3
1027,acc. to LV123 - 6.2.1.,-14,-51,4
1028,"\A1;R0,5",184,92,9
1029,"\A1;R0,5",152,89,10
1030,A,156,39,11
1031,A,203,39,12
1032,"\A1;2{\H1.25;\S+0,1^ -0;}",89,59,13
1033,"\A1;4,8{\H1.25;±0,05}",75,53,13
1034,A,127,132,14
1035,c,116,105,15
1036,"0,005",126,105,15
1037,"\A1;\fArial|b0|i0;\H1.7500;2x Ø19,2{\H1.25;\S+0^ -0,05;} CT",131,92,15
1038,B,231,74,16
1039,"Rz 0,25",141,81,17
1040,"Rz 1,6",87,168,14
1041,"Rpk 0,2",87,163,14
1042,"\A1;\fArial|b0|i0;\H1.7500;Ø15,15{\H1.25;\S+0,05^ -0;}",125,95,15
1043,2x,275,268,18
1044,r,275,260,18
1045,"Ø0,05 CZ",283,260,18
1046,B,306,261,19
1047,"\A1;9,3{\H1.25;\S+0,1^ -0;}",94,54,13
1048,Z,203,220,20
1049,E,77,151,14
1050,#,80,152,14
1051,F,91,151,14
1052,f,78,143,14
1053,"0,01",86,143,14
1054,A,98,144,14
1055,c,77,137,14
1056,"0,01",86,136,14
1057,A,17,273,21
1058,B,17,223,22
1059,C,17,173,23
1060,D,17,123,24
1061,E,17,73,3
1062,F,17,23,3
1063,1,35,7,3
1064,2,85,7,25
1065,3,135,7,26
1066,4,185,7,27
1067,5,235,7,28
1068,6,285,7,29
1069,7,335,7,30
1070,1,34,289,31
1071,5,235,289,32
1072,6,285,289,33
1073,7,335,289,34
1074,8,385,289,35
1075,2,84,289,36
1076,3,134,289,37
1077,4,184,289,38
1078,A,412,273,39
1079,B,412,223,40
1080,C,412,173,41
1081,D,412,123,42
1082,E,412,73,43
1083,F,412,23,44
1084,A3,382,5,45
1085,b,263,144,46
1086,"0,01",274,144,46
1087,A,287,144,46
1088,r,264,137,46
1089,"Ø0,05",272,137,46
1090,B,288,137,46
1091,X,171,259,47
1092,Y,181,144,48
1093,"\A1;0,7",66,74,49
1094,"\A1;1,5{\H1.25;\S+0,1^ -0;}",64,64,13
1095,OLE,136,131,14
1096,\fArial|b0|i0;\H2.2000;Part Number:,174,122,50
1097,"for the payment of damages. All rights reserved in the event of the grant of a patent, utility model or design. (ISO 16016)",79,157,14
1098,\fArial|b0|i0;\H2.2000;Page:,244,122,51
1099,\fArial|b0|i0;\H1.5217;Drawing Approval Stamp,105,115,52
1100,\fArial|b0|i0;\H2.2000;ENGINE Division,152,115,53
1101,\fArial|b0|i0;\H2.5000;Document type:,174,142,48
1102,\fArial|b0|i0;\H2.5000;Description:,174,132,54
1103,\fArial|b0|i0;\H2.0000;Weight:,79,142,14
1104,\fArial|b0|i0;\H2.0000;Projection:,139,142,14
1105,\fArial|b0|i0;\H2.0000;ISO 128\P\fArial|b0|i0;\H2.0000;Method 1,139,138,14
1106,\fArial|b0|i0;\H2.0000;Scale:,99,142,14
1107,\fArial|b0|i0;\H2.0000;Unit:,119,142,14
1108,\fArial|b0|i0;\H2.5000;mm,128,136,14
1109,\fArial|b0|i0;\H3.0000;/,250,117,51
1110,5129275,202,115,55
1111,Valve Lifter GV12.2,200,126,56
1112,-,88,135,14
1113,2 : 1,105,135,14
1114,1,247,115,51
1115,1,252,115,51
1116,Component Drawing,200,136,56
1117,1,233,64,57
1118,Start drawing,238,64,57
1119,-,338,65,58
1120,04.04.2018,352,64,58
1121,LKA,371,64,58
1122,10.07.2018,382,64,58
1123,KB,401,64,59
1124,REVISION HISTORY,308,56,60
1125,REV.,230,60,57
1126,DESCRIPTION,273,60,61
1127,SECTION,333,60,58
1128,DATE,355,60,58
1129,DRAWN BY,367,60,58
1130,INSP. DATE,382,60,58
1131,INSP. BY,398,60,59
1132,\A1;5\U+00B0,51,117,62
1133,"\A1;1,65",37,106,63
1134,\A1;R2,30,126,24
1135,"\A1;\fArial|b0|i0;\H1.7500;Ø4,5 x7 (\S+0,04^ +0,028;) \fAIGDT|b0|i0;\H1.7500;È",110,54,13
1136,"Ra 0,8",227,93,64
1137,"\A1;R0,8",87,113,52
1138,b,203,265,65
1139,"0,01",213,265,65
1140,A,224,266,65
1141,d,71,30,3
1142,"0,2",81,29,3
1143,A,89,30,3
1144,B,95,30,3
1145,"\A1;\fArial|b0|i0;\H1.7500;Ø4,1",94,110,52
1146,\A1;45\U+00B0,66,80,49
1147,g,200,255,66
1148,"0,01",209,255,66
1149,\A1;{\fAIGDT|b0|i0;\H1.7500;\ln}\fArial|b0|i0;\H1.7500;11,119,99,15
1150,<>,171,95,9
1151,<>,166,95,9
1152,A-A ( 5 : 1 ),85,137,14
1153,<>,82,56,13
1154,<>,73,50,13
1155,\fArial|b0|i0;\H1.7500;2x Ø<> CT,135,77,17
1156,\fArial|b0|i0;\H1.7500;Ø<>,129,82,17
1157,<>,108,50,13
1158,Z ( 20 : 1 ),30,133,24
1159,A3,191,2,27
1160,X ( 10 : 1 ),161,116,53
1161,{\fArial|b0|i0;E},34,87,67
1162,{\fArial|b0|i0;F},34,64,68
1163,"-0,1",165,106,53
1164,"-0,05",182,106,53
1165,"-0,1",166,110,53
1166,Y ( 10 : 1 ),27,90,67
1167,<>,75,71,49
1168,<>,77,60,13
1169,5129275,177,6,27
1170,Valve Lifter GV12.2,175,11,27
1171,-,119,15,26
1172,2 : 1,128,15,26
1173,1,199,6,27
1174,1,201,6,27
1175,Component Drawing,175,16,27
1176,<>,55,122,62
1177,<>,48,103,63
1178,<>,30,103,63
1179,"\fArial|b0|i0;\H1.7500;Ø<> x7 (\S+0,04^ +0,028;) \fAIGDT|b0|i0;\H1.7500;È",116,96,15
1180,<>,87,108,52
1181,\fArial|b0|i0;\H1.7500;Ø<>,97,106,52
1182,<>,68,79,49
1183,HUM,120,10,26
1184,11.07.2018,128,10,26
1185,B1,132,8,26
1186,{\fAIGDT|b0|i0;\H1.7500;\ln}\fArial|b0|i0;\H1.7500;<>,122,115,69
1187,1.4021,16,51,3
1188,EN 10095,43,51,3
1189,Hardened to 48 HRC +2/-0,27,48,3
1190,-,27,46,3
1191,Rz 16,15,39,3
1192,"-0,2",41,42,3
1193,"-0,05",41,40,3
1194,"+0,2",47,40,3
1195,5129275_Rev01.stp,24,19,3
1196,acc. to LV123 - 6.2.1.,24,5,3
1197,"entfettet, ultraschallgereinigt",-46,20,3
1198,separat verpackt,-46,14,3
1199,"alle Kanten entgratet,                    gehärtet auf 48 HRC +2/-0",-46,8,3
1200,1.4021,-28,46,3
1201,EN 10095,29,45,3
1202,Hardened to 48 HRC +2/-0,-9,39,3
1203,-,-9,35,3
1204,Rz 16,-33,24,3
1205,"-0,2",18,24,3
1206,"-0,05",18,20,3
1207,"+0,4",34,20,3
1208,not applicable,23,-13,3
1209,5129275_Rev01.stp,6,-23,3
1210,-,14,-43,3
1211,stored separately,-9,-53,4
1212,1.4021,-32,49,3
1213,EN 10095,29,47,3
1214,Hardened to 48 HRC +2/-0,-9,42,3
1215,-,-9,37,3
1216,Rz 16,-33,27,3
1217,"-0,2",18,27,3
1218,"-0,05",18,23,3
1219,"+0,4",34,23,3
1220,not applicable,23,-10,3
1221,5129275_Rev01.stp,0,-20,3
1222,-,14,-46,3
1223,-,-9,-56,4
1224,1.4021,-32,36,3
1225,EN 10095,29,35,3
1226,Hardened to 48 HRC +2/-0,-9,29,3
1227,-,-9,25,3
1228,Rz 16,-33,14,3
1229,"-0,2",18,14,3
1230,"-0,05",18,10,3
1231,"+0,4",34,10,3
1232,not applicable,23,-23,3
1233,5129275_Rev01.stp,0,-32,3
1234,3865240_Rev03.stp,37,48,3
1235,Rz 16,11,35,3
1236,"-0,2",62,35,3
1237,"-0,05",62,31,3
1238,"+0,4",78,31,3
1239,stored separately,52,15,3
1240,ultrasonically cleaned and degreased,52,8,3
1241,mH,62,3,3
1242,xvcxv,1,-3,3
1243,"-0,05",1,1,3
1244,Kantenbruch,-2,-2,3
1245,"-0,1",-2,1,3
1246,1,0,0,3
1247,LKA,-12,2,3
1248,24.10.2017,10,2,3
1249,HUM,-12,2,3
1250,15.11.2017,10,2,3
1251,B4,4,-2,3
1252,LKA,-12,2,3
1253,11.01.2018,10,2,3
1254,HUM,-12,2,3
1255,11.07.2018,10,2,3
1256,B1,8,-2,3
1257,Freigabe für A-Sample Bestellung,0,8,3
1258,Gerhard Ranegger,15,-1,3
1259,Matthias Huschenbett,15,-10,3
1260,1.4021,-32,45,3
1261,EN 10095,30,43,3
1262,Hardened to 48 HRC +2/-0,-8,38,3
1263,-,-8,33,3
1264,Rz 16,-33,23,3
1265,"-0,2",18,23,3
1266,"-0,05",18,19,3
1267,"+0,2",32,19,3
1268,not applicable,23,-14,3
1269,5129275_Rev01.stp,1,-24,3
1270,tbd,-14,-52,4
1271,1.4021,-32,43,3
1272,EN 10095,30,42,3
1273,Hardened to 48 HRC +2/-0,-8,36,3
1274,-,-8,32,3
1275,Rz 16,-33,20,3
1276,"-0,2",18,21,3
1277,"-0,05",18,17,3
1278,"+0,2",31,17,3
1279,5129275_Rev01.stp,1,-22,3
1280,acc. to LV123 - 6.2.1.,-14,-50,4
1281,A3,385,7,45
1282,5129275,212,117,55
1283,Valve Lifter GV12.2,200,129,56
1284,-,88,136,14
1285,2 : 1,108,136,14
1286,1,249,117,51
1287,1,252,117,51
1288,Component Drawing,200,139,56
1289,A3,192,3,27
1290,"-0,1",165,105,53
1291,"-0,05",182,106,53
1292,"-0,1",170,110,53
1293,5129275,181,7,27
1294,Valve Lifter GV12.2,175,13,27
1295,-,120,16,26
1296,2 : 1,130,16,26
1297,1,200,6,27
1298,1,202,6,27
1299,Component Drawing,175,18,27
1300,HUM,122,11,26
1301,11.07.2018,133,11,26
1302,B1,132,9,26
1303,1.4021,16,52,3
1304,EN 10095,46,52,3
1305,Hardened to 48 HRC +2/-0,28,49,3
1306,-,28,47,3
1307,Rz 16,15,41,3
1308,"-0,2",41,41,3
1309,"-0,05",41,39,3
1310,"+0,2",47,39,3
1311,5129275_Rev01.stp,32,20,3
1312,acc. to LV123 - 6.2.1.,25,6,3
1313,Layout1,0,0,3
1314,Layout2,0,0,3
1315,Model,0,0,3
